NO,시군구,유형,지번,도로명,용도지역,건축물주용도,도로조건,전용/연면적(㎡),대지면적(㎡),거래금액(만원),층,매수,매도,계약년월,계약일,지분구분,건축년도,해제사유발생일,거래유형,중개사소재지,대지위치_표제부,도로명대지위치_표제부,매칭단계
1,서울특별시 중구 회현동1가,일반,서울특별시 중구 회현동1가 133-1번지,서울특별시 중구 소공로3길 42 (회현동1가),제2종일반주거,숙박,8m미만,2085.8,837.7,"1,550,000",,법인,개인,202602,3,,1958.0,-,중개거래,경기 부천시 소사구,서울특별시 중구 회현동1가 133-1번지,서울특별시 중구 소공로3길 42 (회현동1가),2단계: 건축년도+연면적
2,서울특별시 성북구 정릉동,일반,서울특별시 강남구 논현동 173-21번지,서울특별시 강남구 봉은사로11길 52 (논현동),제1종일반주거,제2종근린생활,8m미만,586.13,209.4,"110,000",,개인,개인,202602,3,지분,2004.0,-,직거래,-,서울특별시 강남구 논현동 173-21번지,서울특별시 강남구 봉은사로11길 52 (논현동),3단계: 오차범위±10%
3,서울특별시 송파구 가락동,집합,35065,송파대로32길,제3종일반주거,판매,12m미만,7.19, ,"7,300",,개인,개인,202602,3,,1986.0,-,중개거래,서울 송파구,,,매칭실패
4,서울특별시 서초구 서초동,집합,1600-11,서초중앙로,일반상업,업무,25m이상,10.15, ,"5,000",5.0,개인,개인,202602,2,,2005.0,-,중개거래,서울 서초구,,,매칭실패
5,서울특별시 중구 인현동1가,집합,158,충무로,일반상업,숙박,25m미만,18.16, ,"28,300",7.0,개인,개인,202602,2,,2020.0,-,중개거래,서울 중구,,,매칭실패
6,서울특별시 성동구 성수동2가,일반,서울특별시 성동구 성수동2가 213-10번지,서울특별시 성동구 둘레23길 14 (성수동2가),제3종일반주거,제1종근린생활,12m미만,44.18,53,"273,000",,개인,개인,202602,2,,1995.0,-,중개거래,"서울 성동구, 서울 용산구",서울특별시 성동구 성수동2가 213-10번지,서울특별시 성동구 둘레23길 14 (성수동2가),1단계: 정확매칭
7,서울특별시 중구 신당동,일반,서울특별시 중구 신당동 366-38번지,서울특별시 중구 다산로 88 (신당동),제3종일반주거,제2종근린생활,25m이상,359.1,185,"565,000",,법인,법인,202602,2,,1989.0,-,중개거래,서울 강남구,서울특별시 중구 신당동 366-38번지,서울특별시 중구 다산로 88 (신당동),1단계: 정확매칭
8,서울특별시 중구 충무로4가,집합,308,충무로2길,일반상업,숙박,12m미만,23.62, ,"28,000",7.0,개인,개인,202602,2,,2023.0,-,중개거래,서울 중구,,,매칭실패
9,서울특별시 종로구 수송동,일반,4*,율곡로4길,일반상업,숙박,8m미만,618.32,87.53,"355,608",,개인,개인,202602,2,지분,1969.0,-,직거래,-,,,매칭실패
10,서울특별시 중구 을지로6가,집합,18-35,장충단로,일반상업,판매,25m이상,3.77, ,"3,000",,개인,개인,202602,2,,2002.0,-,직거래,-,,,매칭실패
11,서울특별시 성북구 돈암동,집합,644,아리랑로,제1종일반주거,제2종근린생활,25m이상,167.36, ,"96,000",1.0,개인,개인,202601,31,,2016.0,-,중개거래,서울 성동구,,,매칭실패
12,서울특별시 도봉구 창동,집합,333-1,노해로65길,일반상업,제2종근린생활,12m미만,160.15, ,"9,000",,개인,개인,202601,31,,1995.0,-,직거래,-,,,매칭실패
13,서울특별시 종로구 내수동,집합,72,사직로8길,준주거,제2종근린생활,25m미만,19.31, ,"5,000",,개인,개인,202601,31,,2004.0,-,중개거래,서울 종로구,,,매칭실패
14,서울특별시 종로구 내수동,집합,72,사직로8길,준주거,제2종근린생활,25m미만,21.06, ,"5,000",,개인,개인,202601,31,,2004.0,-,중개거래,서울 종로구,,,매칭실패
15,서울특별시 영등포구 영등포동3가,집합,46278,영중로,일반상업,판매,25m이상,4.96, ,"2,500",61.0,개인,개인,202601,31,,2005.0,-,직거래,-,,,매칭실패
16,서울특별시 광진구 능동,집합,315-21,천호대로110길,제2종일반주거,제1종근린생활,8m미만,30.52, ,"19,800",1.0,개인,개인,202601,31,,2017.0,-,중개거래,서울 광진구,,,매칭실패
17,서울특별시 강동구 명일동,집합,260-1,상암로,제3종일반주거,제1종근린생활,25m미만,7.04, ,"3,000",,개인,개인,202601,31,지분,,-,중개거래,서울 강동구,,,매칭실패
18,서울특별시 영등포구 도림동,집합,819,도영로,준공업,업무,25m이상,29.38, ,"14,000",9.0,개인,개인,202601,30,,2004.0,-,직거래,-,,,매칭실패
19,서울특별시 강남구 대치동,일반,서울특별시 강남구 대치동 949번지,서울특별시 강남구 영동대로75길 9 (대치동),제3종일반주거,제2종근린생활,12m미만,2494.69,576.2,"2,820,000",,법인,개인,202601,30,,1989.0,-,중개거래,서울 강남구,서울특별시 강남구 대치동 949번지,서울특별시 강남구 영동대로75길 9 (대치동),1단계: 정확매칭
20,서울특별시 종로구 혜화동,집합,185,대학로,제3종일반주거,제1종근린생활,25m이상,10.53, ,"6,500",2.0,개인,개인,202601,30,,1994.0,-,직거래,-,,,매칭실패
21,서울특별시 성동구 성수동2가,일반,서울특별시 성동구 성수동2가 316-34번지,서울특별시 성동구 연무장길 41-9 (성수동2가),준공업,제2종근린생활,8m미만,65.88,109.8,"575,000",,법인,개인,202601,30,,1971.0,-,중개거래,서울 성동구,서울특별시 성동구 성수동2가 316-34번지,서울특별시 성동구 연무장길 41-9 (성수동2가),1단계: 정확매칭
22,서울특별시 광진구 자양동,집합,695,구의강변로,제3종일반주거,판매,25m미만,13.02, ,"97,000",,개인,법인,202601,30,,1983.0,-,중개거래,서울 송파구,,,매칭실패
23,서울특별시 동대문구 제기동,집합,1140-5,왕산로,일반상업,판매,25m이상,4.86, ,500,,개인,개인,202601,30,,2007.0,-,직거래,-,,,매칭실패
24,서울특별시 양천구 신월동,집합,547-7,남부순환로,준주거,업무,25m이상,27.3, ,"6,000",5.0,개인,개인,202601,29,,1996.0,-,직거래,-,,,매칭실패
25,서울특별시 도봉구 창동,집합,4,마들로11가길,일반상업,제2종근린생활,12m미만,50.82, ,"16,200",4.0,개인,개인,202601,29,,1992.0,-,중개거래,서울 도봉구,,,매칭실패
26,서울특별시 양천구 목동,집합,907-7,목동서로,일반상업,제1종근린생활,12m미만,25.28, ,"75,000",1.0,법인,개인,202601,29,,2015.0,-,중개거래,서울 양천구,,,매칭실패
27,서울특별시 양천구 목동,집합,서울특별시 성북구 성북동 8-37번지,서울특별시 성북구 선잠로2길 212 (성북동),일반상업,제1종근린생활,12m미만,30.72, ,"80,000",1.0,법인,개인,202601,29,,2015.0,-,중개거래,서울 양천구,서울특별시 성북구 성북동 8-37번지,서울특별시 성북구 선잠로2길 212 (성북동),2단계: 건축년도+연면적
28,서울특별시 강서구 마곡동,집합,797-12,마곡동로4길,일반상업,숙박,25m미만,20.68, ,"15,500",10.0,개인,개인,202601,29,,2017.0,-,중개거래,서울 강서구,,,매칭실패
29,서울특별시 동대문구 전농동,집합,6,사가정로,제3종일반주거,제1종근린생활,25m이상,6.21, ,"1,400",,개인,개인,202601,29,,1992.0,-,직거래,-,,,매칭실패
30,서울특별시 광진구 구의동,집합,546-4,광나루로56길,준주거,판매,25m이상,10.66, ,"1,600",,개인,개인,202601,29,,1998.0,-,중개거래,서울 광진구,,,매칭실패
31,서울특별시 동대문구 제기동,집합,1140-5,왕산로,일반상업,판매,25m이상,4.5, ,"2,300",,개인,개인,202601,29,,2007.0,-,직거래,-,,,매칭실패
32,서울특별시 중구 흥인동,집합,46085,다산로,일반상업,판매,25m이상,11.14, ,"3,400",3.0,법인,개인,202601,29,,1994.0,-,중개거래,서울 중구,,,매칭실패
33,서울특별시 동대문구 제기동,집합,1140-5,왕산로,일반상업,판매,25m이상,4.5, ,"2,300",,개인,개인,202601,29,,2007.0,-,직거래,-,,,매칭실패
34,서울특별시 광진구 구의동,집합,546-4,광나루로56길,준주거,판매,25m이상,10.16, ,365,,개인,개인,202601,29,,1998.0,-,직거래,-,,,매칭실패
35,서울특별시 강남구 개포동,집합,46094,개포로,일반상업,업무,25m이상,32.44, ,"22,800",6.0,개인,개인,202601,29,,1997.0,-,중개거래,서울 강남구,,,매칭실패
36,서울특별시 송파구 문정동,집합,88-18,송이로36길,제2종일반주거,제2종근린생활,12m미만,37.11, ,"21,300",2.0,개인,개인,202601,29,,2017.0,-,중개거래,서울 송파구,,,매칭실패
37,서울특별시 송파구 방이동,집합,32813,양재대로,제3종일반주거,판매,25m이상,13.95, ,"130,000",,개인,개인,202601,29,,1988.0,-,중개거래,서울 송파구,,,매칭실패
38,서울특별시 서초구 서초동,집합,1445-3,효령로,일반상업,판매,25m이상,11.57, ,"6,800",,개인,개인,202601,28,,1997.0,-,직거래,-,,,매칭실패
39,서울특별시 강남구 개포동,집합,186-17,개포로,일반상업,제1종근린생활,25m미만,16.3, ,"70,000",1.0,개인,개인,202601,28,지분,1984.0,-,중개거래,서울 강남구,,,매칭실패
40,서울특별시 강남구 대치동,집합,1019-15,삼성로,제3종일반주거,제1종근린생활,25m이상,7.28, ,"12,000",,개인,기타,202601,28,,1983.0,-,직거래,-,,,매칭실패
41,서울특별시 광진구 화양동,일반,서울특별시 광진구 화양동 7-33번지,서울특별시 광진구 동일로22길 88 (화양동),일반상업,제2종근린생활,12m미만,299.25,125,"545,000",,법인,법인,202601,28,,1992.0,-,중개거래,서울 강남구,서울특별시 광진구 화양동 7-33번지,서울특별시 광진구 동일로22길 88 (화양동),1단계: 정확매칭
42,서울특별시 강남구 신사동,일반,서울특별시 강남구 신사동 612-1번지,서울특별시 강남구 논현로176길 14 (신사동),제2종일반주거,제1종근린생활,12m미만,6353.81,2335.7,"10,650,000",,법인,개인,202601,28,,1989.0,-,직거래,-,서울특별시 강남구 신사동 612-1번지,서울특별시 강남구 논현로176길 14 (신사동),1단계: 정확매칭
43,서울특별시 양천구 신정동,집합,318-1,목동서로,일반상업,제1종근린생활,25m이상,9.44, ,"14,000",1.0,개인,개인,202601,28,지분,2004.0,-,직거래,-,,,매칭실패
44,서울특별시 구로구 구로동,집합,35551,가마산로,일반상업,제2종근린생활,25m이상,64.83, ,"18,000",3.0,개인,개인,202601,28,,2009.0,-,중개거래,서울 구로구,,,매칭실패
45,서울특별시 은평구 역촌동,집합,41-43,진흥로3길,준주거,업무,8m미만,54.18, ,"25,000",3.0,개인,개인,202601,28,,2011.0,-,직거래,-,,,매칭실패
46,서울특별시 강남구 일원동,집합,735,일원로,제2종일반주거,제2종근린생활,25m이상,20.0, ,"125,000",,개인,개인,202601,28,,1993.0,-,중개거래,서울 강남구,,,매칭실패
47,서울특별시 영등포구 영등포동3가,집합,46278,영중로,일반상업,판매,25m이상,4.96, ,"3,900",,법인,개인,202601,28,,2005.0,-,직거래,-,,,매칭실패
48,서울특별시 강서구 염창동,일반,서울특별시 강서구 염창동 242-11번지,서울특별시 강서구 양천로67길 15 (염창동),준공업,제1종근린생활,25m미만,3223.56,688,"1,260,000",,법인,법인,202601,28,,1997.0,-,직거래,-,서울특별시 강서구 염창동 242-11번지,서울특별시 강서구 양천로67길 15 (염창동),1단계: 정확매칭
49,서울특별시 동대문구 전농동,집합,620-47,왕산로,일반상업,업무,25m이상,29.34, ,"26,000",16.0,개인,개인,202601,28,,2023.0,-,중개거래,서울 동대문구,,,매칭실패
50,서울특별시 서대문구 충정로3가,일반,3**,충정로2길,제3종일반주거,제2종근린생활,8m미만,314.05,641,"632,000",,개인,개인,202601,28,,,-,중개거래,서울 중구,,,매칭실패
51,서울특별시 광진구 구의동,집합,546-4,광나루로56길,준주거,판매,25m이상,11.29, ,"1,900",,개인,개인,202601,27,,1998.0,-,중개거래,서울 광진구,,,매칭실패
52,서울특별시 강남구 신사동,집합,575,압구정로,제3종일반주거,제1종근린생활,25m이상,41.46, ,"175,000",1.0,개인,개인,202601,27,,1996.0,-,중개거래,서울 강남구,,,매칭실패
53,서울특별시 구로구 구로동,집합,서울특별시 용산구 후암동 335-34번지,서울특별시 용산구 두텁바위로61길 15 (후암동),일반상업,기타,25m이상,4.0, ,700,,개인,개인,202601,27,,2007.0,-,직거래,-,서울특별시 용산구 후암동 335-34번지,서울특별시 용산구 두텁바위로61길 15 (후암동),2단계: 건축년도+연면적
54,서울특별시 광진구 구의동,집합,546-4,광나루로56길,준주거,판매,25m이상,9.99, ,750,,개인,개인,202601,27,,1998.0,-,직거래,-,,,매칭실패
55,서울특별시 종로구 낙원동,일반,서울특별시 종로구 낙원동 184번지,서울특별시 종로구 수표로22길 10 (낙원동),일반상업,숙박,8m미만,457.05,128.9,"448,000",,법인,개인,202601,27,,2012.0,-,중개거래,서울 강남구,서울특별시 종로구 낙원동 184번지,서울특별시 종로구 수표로22길 10 (낙원동),2단계: 건축년도+연면적
56,서울특별시 금천구 시흥동,집합,984,시흥대로,준공업,제2종근린생활,25m이상,22.86, ,"20,500",3.0,개인,개인,202601,27,,1987.0,-,중개거래,"서울 관악구, 서울 금천구",,,매칭실패
57,서울특별시 중구 신당동,집합,213-8,마장로1길,일반상업,판매,25m미만,4.33, ,"3,000",,개인,개인,202601,27,,1996.0,-,직거래,-,,,매칭실패
58,서울특별시 양천구 신월동,집합,128,곰달래로5길,제2종일반주거,판매,25m미만,20.0, ,"1,758",,개인,개인,202601,27,,1999.0,-,직거래,-,,,매칭실패
59,서울특별시 서대문구 연희동,집합,137-11,연희로15길,제3종일반주거,제2종근린생활,8m미만,45.76, ,"11,733",1.0,개인,법인,202601,27,,2025.0,-,직거래,-,,,매칭실패
60,서울특별시 성동구 옥수동,일반,서울특별시 성동구 옥수동 362-1번지,서울특별시 성동구 한림말3길 10 (옥수동),제2종일반주거,제2종근린생활,12m미만,1253.1,423,"780,000",,개인,개인,202601,27,,1988.0,-,중개거래,서울 성동구,서울특별시 성동구 옥수동 362-1번지,서울특별시 성동구 한림말3길 10 (옥수동),1단계: 정확매칭
61,서울특별시 서초구 서초동,집합,1445-3,효령로,일반상업,판매,25m이상,12.21, ,"7,500",,개인,개인,202601,27,,1997.0,-,중개거래,서울 서초구,,,매칭실패
62,서울특별시 동작구 노량진동,일반,서울특별시 동작구 노량진동 202-14번지,서울특별시 동작구 만양로14사길 3 (노량진동),제2종일반주거,제1종근린생활,8m미만,431.75,185,"160,000",,개인,법인,202601,27,,2003.0,-,중개거래,서울 동작구,서울특별시 동작구 노량진동 202-14번지,서울특별시 동작구 만양로14사길 3 (노량진동),2단계: 건축년도+연면적
63,서울특별시 서초구 서초동,집합,1445-3,효령로,일반상업,판매,25m이상,12.21, ,"7,500",,개인,개인,202601,27,,1997.0,-,중개거래,서울 서초구,,,매칭실패
64,서울특별시 강동구 고덕동,일반,서울특별시 강동구 고덕동 195-3번지,서울특별시 강동구 상일로15길 34-17 (고덕동),제2종일반주거,제2종근린생활,8m미만,433.15,218.1,"258,000",,법인,개인,202601,27,,1986.0,-,중개거래,서울 강남구,서울특별시 강동구 고덕동 195-3번지,서울특별시 강동구 상일로15길 34-17 (고덕동),2단계: 건축년도+연면적
65,서울특별시 서초구 서초동,집합,1445-3,효령로,일반상업,판매,25m이상,11.88, ,"7,000",,개인,개인,202601,27,,1997.0,-,중개거래,서울 서초구,,,매칭실패
66,서울특별시 관악구 신림동,집합,538-39,난곡로65길,일반상업,제1종근린생활,12m미만,34.5, ,"31,800",1.0,개인,개인,202601,26,지분,2021.0,-,직거래,-,,,매칭실패
67,서울특별시 관악구 신림동,집합,538-39,난곡로65길,일반상업,제2종근린생활,12m미만,36.15, ,"21,200",2.0,개인,개인,202601,26,지분,2021.0,-,직거래,-,,,매칭실패
68,서울특별시 강동구 강일동,집합,676,아리수로93길,일반상업,교육연구,12m미만,135.69, ,"39,500",6.0,개인,개인,202601,26,,2011.0,-,중개거래,서울 서대문구,,,매칭실패
69,서울특별시 강동구 천호동,집합,447-3,성안로,일반상업,업무,25m이상,32.95, ,"13,000",4.0,개인,개인,202601,26,,2004.0,-,중개거래,서울 강동구,,,매칭실패
70,서울특별시 서대문구 남가좌동,집합,396,수색로2길,준주거,판매,25m미만,10.59, ,"15,250",,개인,개인,202601,26,지분,2024.0,-,직거래,-,,,매칭실패
71,서울특별시 중구 인현동1가,집합,158,충무로,일반상업,숙박,25m미만,18.21, ,"27,200",5.0,개인,개인,202601,26,,2020.0,-,중개거래,서울 중구,,,매칭실패
72,서울특별시 구로구 구로동,집합,107-7,가마산로27길,일반상업,업무,25m미만,26.18, ,"8,350",7.0,개인,개인,202601,26,,1989.0,-,중개거래,서울 구로구,,,매칭실패
73,서울특별시 광진구 구의동,집합,546-4,광나루로56길,준주거,판매,25m이상,12.76, ,"2,000",,개인,개인,202601,26,,1998.0,-,중개거래,서울 광진구,,,매칭실패
74,서울특별시 서대문구 남가좌동,집합,396,수색로2길,준주거,판매,25m미만,10.59, ,"15,250",,개인,개인,202601,26,지분,2024.0,-,직거래,-,,,매칭실패
75,서울특별시 서대문구 남가좌동,집합,396,수색로2길,준주거,판매,25m미만,5.3, ,"7,625",,개인,개인,202601,26,지분,2024.0,-,직거래,-,,,매칭실패
76,서울특별시 광진구 구의동,집합,631-1,광나루로56길,준주거,제1종근린생활,25m이상,12.54, ,"7,700",,개인,개인,202601,26,,1997.0,-,중개거래,서울 광진구,,,매칭실패
77,서울특별시 강남구 도곡동,집합,953-1,강남대로,일반상업,제2종근린생활,25m이상,56.17, ,"39,670",,법인,개인,202601,26,,2006.0,-,중개거래,서울 강남구,,,매칭실패
78,서울특별시 강서구 마곡동,집합,797-12,마곡동로4길,일반상업,숙박,25m미만,20.68, ,"16,000",7.0,개인,개인,202601,26,,2017.0,-,중개거래,서울 강서구,,,매칭실패
79,서울특별시 양천구 신정동,일반,서울특별시 양천구 신정동 903-25번지,서울특별시 양천구 오목로 211 (신정동),제3종일반주거,제2종근린생활,25m미만,567.36,236.9,"355,000",,법인,개인,202601,26,,1990.0,-,중개거래,서울 강남구,서울특별시 양천구 신정동 903-25번지,서울특별시 양천구 오목로 211 (신정동),2단계: 건축년도+연면적
80,서울특별시 중랑구 중화동,집합,307-1,동일로143길,제2종일반주거,판매,25m미만,11.22, ,"2,500",,법인,개인,202601,26,,1992.0,-,중개거래,서울 중구,,,매칭실패
81,서울특별시 강남구 도곡동,집합,514-2,논현로,제3종일반주거,업무,25m이상,394.62, ,"557,940",7.0,법인,법인,202601,26,,2003.0,-,직거래,-,,,매칭실패
82,서울특별시 서대문구 북가좌동,집합,326-12,응암로,제3종일반주거,제2종근린생활,8m미만,43.1, ,"15,000",2.0,개인,개인,202601,26,,2014.0,-,직거래,-,,,매칭실패
83,서울특별시 동대문구 제기동,집합,892-71,왕산로,일반상업,판매,25m이상,6.6, ,"6,000",,법인,개인,202601,26,,1976.0,-,직거래,-,,,매칭실패
84,서울특별시 마포구 아현동,집합,327-4,굴레방로9길,준주거,제2종근린생활,8m미만,77.1, ,"44,055",4.0,법인,법인,202601,26,,2019.0,-,직거래,-,,,매칭실패
85,서울특별시 종로구 낙원동,일반,서울특별시 종로구 낙원동 151번지,서울특별시 종로구 돈화문로9길 32 (낙원동),일반상업,제2종근린생활,8m미만,1581.67,396.7,"1,100,000",,법인,개인,202601,26,,1991.0,-,중개거래,서울 종로구,서울특별시 종로구 낙원동 151번지,서울특별시 종로구 돈화문로9길 32 (낙원동),1단계: 정확매칭
86,서울특별시 광진구 자양동,집합,597,뚝섬로48길,제2종일반주거,제2종근린생활,8m미만,63.0, ,"37,000",7.0,개인,개인,202601,26,,2023.0,-,직거래,-,,,매칭실패
87,서울특별시 중구 을지로6가,집합,18-35,장충단로,일반상업,판매,25m이상,3.77, ,"3,000",,개인,개인,202601,26,,2002.0,-,직거래,-,,,매칭실패
88,서울특별시 강남구 도곡동,집합,953-1,강남대로,일반상업,제2종근린생활,25m이상,28.15, ,"19,830",,법인,개인,202601,26,,2006.0,-,중개거래,서울 강남구,,,매칭실패
89,서울특별시 중구 충무로4가,집합,334,창경궁로1길,일반상업,숙박,12m미만,36.02, ,"33,300",9.0,개인,법인,202601,26,,2021.0,-,중개거래,"경기 하남시, 서울 중구",,,매칭실패
90,서울특별시 중랑구 중화동,집합,307-1,동일로143길,제2종일반주거,판매,25m미만,9.08, ,"2,000",,법인,개인,202601,26,,1992.0,-,중개거래,서울 중구,,,매칭실패
91,서울특별시 서대문구 창천동,집합,29-81,신촌로,일반상업,제1종근린생활,25m이상,18.65, ,"7,000",,개인,개인,202601,26,,2005.0,-,중개거래,서울 강남구,,,매칭실패
92,서울특별시 동대문구 답십리동,집합,494-2,천호대로,일반상업,판매,25m이상,7.44, ,"3,550",,개인,개인,202601,26,,1994.0,-,중개거래,서울 동대문구,,,매칭실패
93,서울특별시 강남구 개포동,집합,186-12,개포로82길,일반상업,제2종근린생활,12m미만,47.61, ,"82,000",2.0,개인,개인,202601,25,,1984.0,-,중개거래,서울 강남구,,,매칭실패
94,서울특별시 양천구 신정동,집합,1016-16,은행정로4길,제2종일반주거,제2종근린생활,12m미만,59.0, ,"24,000",6.0,개인,개인,202601,25,,2013.0,-,중개거래,서울 양천구,,,매칭실패
95,서울특별시 강서구 마곡동,집합,798-5,마곡중앙로,준주거,제1종근린생활,25m미만,42.51, ,"16,000",3.0,개인,개인,202601,25,,2019.0,-,중개거래,서울 강서구,,,매칭실패
96,서울특별시 강서구 마곡동,집합,798-5,마곡중앙로,준주거,제1종근린생활,25m미만,42.51, ,"16,000",3.0,개인,개인,202601,25,,2019.0,-,중개거래,서울 강서구,,,매칭실패
97,서울특별시 강동구 상일동,집합,519,고덕로80길,제2종일반주거,제2종근린생활,25m이상,46.12, ,"100,000",1.0,개인,개인,202601,25,,2020.0,-,직거래,-,,,매칭실패
98,서울특별시 송파구 문정동,집합,150,중대로,제3종일반주거,판매,25m이상,46.53, ,"113,500",,개인,개인,202601,24,,1988.0,-,중개거래,서울 송파구,,,매칭실패
99,서울특별시 강동구 상일동,집합,519,고덕로80길,제2종일반주거,제1종근린생활,25m이상,104.7, ,"70,000",2.0,개인,개인,202601,24,,2020.0,-,직거래,-,,,매칭실패
100,서울특별시 강동구 천호동,집합,447-3,성안로,일반상업,업무,25m이상,32.95, ,"12,000",3.0,개인,개인,202601,24,,2004.0,-,중개거래,서울 강동구,,,매칭실패
101,서울특별시 동작구 상도동,집합,299-147,국사봉길,제2종일반주거,제1종근린생활,12m미만,30.61, ,"17,700",1.0,개인,개인,202601,24,,,-,중개거래,서울 동작구,,,매칭실패
102,서울특별시 용산구 한강로2가,집합,15-14,청파로20길,일반상업,판매,12m미만,29.73, ,"45,000",,개인,법인,202601,24,,1974.0,-,중개거래,서울 용산구,,,매칭실패
103,서울특별시 양천구 신정동,집합,서울특별시 동작구 대방동 67-1번지,서울특별시 동작구 노량진로 47 (대방동),제2종일반주거,제2종근린생활,25m미만,47.5, ,"23,000",,개인,개인,202601,24,,1988.0,-,중개거래,서울 양천구,서울특별시 동작구 대방동 67-1번지,서울특별시 동작구 노량진로 47 (대방동),2단계: 건축년도+연면적
104,서울특별시 광진구 화양동,집합,46206,아차산로,일반상업,업무,25m이상,30.3, ,"22,000",13.0,개인,개인,202601,24,,2006.0,-,중개거래,서울 광진구,,,매칭실패
105,서울특별시 금천구 시흥동,집합,984,시흥대로,준공업,제2종근린생활,25m이상,22.86, ,"20,850",3.0,개인,개인,202601,24,,1987.0,-,중개거래,"서울 관악구, 서울 금천구",,,매칭실패
106,서울특별시 종로구 사직동,집합,9,사직로8길,준주거,제1종근린생활,25m이상,10.86, ,"21,976",,개인,개인,202601,24,,2008.0,-,중개거래,서울 종로구,,,매칭실패
107,서울특별시 중구 인현동1가,집합,158,충무로,일반상업,숙박,25m미만,22.78, ,"28,000",3.0,개인,개인,202601,24,,2020.0,-,중개거래,서울 중구,,,매칭실패
108,서울특별시 용산구 후암동,집합,195-1,후암로5길,제2종일반주거,제2종근린생활,8m미만,90.8, ,"119,700",1.0,개인,개인,202601,23,,2003.0,-,중개거래,서울 용산구,,,매칭실패
109,서울특별시 은평구 대조동,집합,240,불광로,일반상업,제1종근린생활,25m이상,53.63, ,"24,900",,법인,법인,202601,23,,2005.0,-,직거래,-,,,매칭실패
110,서울특별시 종로구 창신동,집합,23-76,지봉로,제2종일반주거,제2종근린생활,25m이상,91.07, ,"51,620",2.0,법인,개인,202601,23,,2006.0,-,직거래,-,,,매칭실패
111,서울특별시 영등포구 영등포동3가,집합,46278,영중로,일반상업,판매,25m이상,4.96, ,"3,900",,법인,개인,202601,23,,2005.0,-,직거래,-,,,매칭실패
112,서울특별시 영등포구 영등포동3가,집합,46278,영중로,일반상업,판매,25m이상,4.96, ,"3,900",,법인,개인,202601,23,,2005.0,-,직거래,-,,,매칭실패
113,서울특별시 영등포구 영등포동3가,집합,46278,영중로,일반상업,판매,25m이상,4.96, ,"3,900",,법인,개인,202601,23,,2005.0,-,직거래,-,,,매칭실패
114,서울특별시 영등포구 영등포동3가,집합,46278,영중로,일반상업,판매,25m이상,4.96, ,"3,900",,법인,개인,202601,23,,2005.0,-,직거래,-,,,매칭실패
115,서울특별시 영등포구 영등포동3가,집합,46278,영중로,일반상업,판매,25m이상,4.96, ,"3,300",,법인,개인,202601,23,,2005.0,-,직거래,-,,,매칭실패
116,서울특별시 영등포구 영등포동3가,집합,46278,영중로,일반상업,판매,25m이상,4.96, ,"3,900",,법인,개인,202601,23,,2005.0,-,직거래,-,,,매칭실패
117,서울특별시 노원구 중계동,집합,366-9,한글비석로,일반상업,교육연구,25m이상,137.02, ,"94,643",8.0,법인,법인,202601,23,,2018.0,-,중개거래,서울 노원구,,,매칭실패
118,서울특별시 종로구 종로6가,집합,270-3,,일반상업,판매,25m이상,12.99, ,"27,500",,개인,개인,202601,23,,,-,중개거래,서울 종로구,,,매칭실패
119,서울특별시 강남구 청담동,집합,134-15,,제1종일반주거,판매,25m이상,23.21, ,"48,400",,법인,개인,202601,23,,,-,중개거래,서울 강남구,,,매칭실패
120,서울특별시 중구 신당동,집합,773,마장로,일반상업,판매,25m이상,3.69, ,"1,600",70.0,개인,개인,202601,23,,2010.0,-,직거래,-,,,매칭실패
121,서울특별시 중구 신당동,집합,773,마장로,일반상업,판매,25m이상,3.86, ,"2,100",72.0,개인,법인,202601,23,,2010.0,-,직거래,-,,,매칭실패
122,서울특별시 성동구 용답동,집합,238-7,가람길,유통상업,제1종근린생활,25m미만,23.7, ,"7,407",1.0,법인,법인,202601,23,,2023.0,-,중개거래,서울 강남구,,,매칭실패
123,서울특별시 성동구 용답동,집합,238-7,가람길,유통상업,제2종근린생활,25m미만,32.97, ,"10,322",1.0,법인,법인,202601,23,,2023.0,-,중개거래,서울 강남구,,,매칭실패
124,서울특별시 성동구 용답동,집합,238-7,가람길,유통상업,제2종근린생활,25m미만,38.92, ,"11,552",1.0,법인,법인,202601,23,,2023.0,-,중개거래,서울 강남구,,,매칭실패
125,서울특별시 성동구 용답동,집합,238-7,가람길,유통상업,제2종근린생활,25m미만,52.09, ,"5,803",2.0,법인,법인,202601,23,,2023.0,-,중개거래,서울 강남구,,,매칭실패
126,서울특별시 성동구 용답동,집합,238-7,가람길,유통상업,제2종근린생활,25m미만,49.38, ,"5,482",2.0,법인,법인,202601,23,,2023.0,-,중개거래,서울 강남구,,,매칭실패
127,서울특별시 성동구 용답동,집합,238-7,가람길,유통상업,제1종근린생활,25m미만,47.11, ,"5,241",2.0,법인,법인,202601,23,,2023.0,-,중개거래,서울 강남구,,,매칭실패
128,서울특별시 성동구 용답동,집합,서울특별시 마포구 공덕동 370-4번지,서울특별시 마포구 백범로31길 19 (공덕동),유통상업,제1종근린생활,25m미만,50.16, ,"5,589",2.0,법인,법인,202601,23,,2023.0,-,중개거래,서울 강남구,서울특별시 마포구 공덕동 370-4번지,서울특별시 마포구 백범로31길 19 (공덕동),2단계: 건축년도+연면적
