NO,시군구,유형,지번,도로명,용도지역,건축물주용도,도로조건,전용/연면적(㎡),대지면적(㎡),거래금액(만원),층,매수,매도,계약년월,계약일,지분구분,건축년도,해제사유발생일,거래유형,중개사소재지,대지위치_표제부,도로명대지위치_표제부,매칭단계
865,서울특별시 마포구 마포동,집합,136-1,마포대로,준주거,업무,25m이상,44.11, ,"31,000",,개인,개인,202512,23,,1987.0,-,중개거래,서울 마포구,,,매칭실패
866,서울특별시 은평구 대조동,집합,9-45,통일로67길,일반상업,제2종근린생활,8m미만,22.09, ,"9,000",2.0,개인,개인,202512,23,,2014.0,-,중개거래,서울 은평구,,,매칭실패
867,서울특별시 종로구 관수동,집합,46066,수표로,일반상업,업무,25m미만,130.08, ,"298,000",11.0,법인,법인,202512,23,,2023.0,-,직거래,-,,,매칭실패
868,서울특별시 강서구 화곡동,집합,920-5,곰달래로,일반상업,제2종근린생활,25m미만,19.81, ,"7,000",2.0,개인,개인,202512,23,지분,2014.0,-,직거래,-,,,매칭실패
869,서울특별시 종로구 관수동,집합,46066,수표로,일반상업,업무,25m미만,196.5, ,"394,500",9.0,법인,법인,202512,23,,2023.0,-,직거래,-,,,매칭실패
870,서울특별시 종로구 관수동,집합,46066,수표로,일반상업,업무,25m미만,196.5, ,"394,500",8.0,법인,법인,202512,23,,2023.0,-,직거래,-,,,매칭실패
871,서울특별시 은평구 역촌동,집합,9-54,연서로,제3종일반주거,제1종근린생활,25m이상,206.25, ,"41,000",2.0,개인,개인,202512,23,,2004.0,-,중개거래,서울 은평구,,,매칭실패
872,서울특별시 영등포구 영등포동7가,집합,208,국회대로50길,일반상업,제1종근린생활,25m이상,30.13, ,"67,000",1.0,기타,법인,202512,23,,2020.0,-,중개거래,서울 영등포구,,,매칭실패
873,서울특별시 마포구 노고산동,집합,57-18,서강로,일반상업,기타,12m미만,11.29, ,"7,500",,개인,개인,202512,23,지분,1999.0,-,직거래,-,,,매칭실패
874,서울특별시 강남구 수서동,집합,725,광평로56길,일반상업,업무,25m미만,39.79, ,"23,450",19.0,개인,개인,202512,23,,1997.0,-,중개거래,서울 강남구,,,매칭실패
875,서울특별시 영등포구 여의도동,집합,서울특별시 도봉구 창동 578-71번지,서울특별시 도봉구 덕릉로59다길 41 (창동),일반상업,제2종근린생활,25m미만,648.64, ,"1,225,385",,법인,법인,202512,23,,1993.0,-,직거래,-,서울특별시 도봉구 창동 578-71번지,서울특별시 도봉구 덕릉로59다길 41 (창동),2단계: 건축년도+연면적
876,서울특별시 영등포구 여의도동,집합,25,국제금융로2길,일반상업,제2종근린생활,25m미만,596.81, ,"795,839",,법인,법인,202512,23,,1993.0,-,직거래,-,,,매칭실패
877,서울특별시 영등포구 여의도동,집합,25,국제금융로2길,일반상업,업무,25m미만,596.81, ,"795,839",,법인,법인,202512,23,,1993.0,-,직거래,-,,,매칭실패
878,서울특별시 영등포구 여의도동,집합,25,국제금융로2길,일반상업,제2종근린생활,25m미만,596.81, ,"795,839",,법인,법인,202512,23,,1993.0,-,직거래,-,,,매칭실패
879,서울특별시 영등포구 여의도동,집합,25,국제금융로2길,일반상업,제2종근린생활,25m미만,530.26, ,"707,098",,법인,법인,202512,23,,1993.0,-,직거래,-,,,매칭실패
880,서울특별시 영등포구 여의도동,집합,25,국제금융로2길,일반상업,제1종근린생활,25m미만,596.81, ,"795,839",,법인,법인,202512,23,,1993.0,-,직거래,-,,,매칭실패
881,서울특별시 영등포구 여의도동,집합,25,국제금융로2길,일반상업,업무,25m미만,596.81, ,"795,839",,법인,법인,202512,23,,1993.0,-,직거래,-,,,매칭실패
882,서울특별시 영등포구 여의도동,집합,25,국제금융로2길,일반상업,업무,25m미만,596.81, ,"795,839",,법인,법인,202512,23,,1993.0,-,직거래,-,,,매칭실패
883,서울특별시 영등포구 여의도동,집합,25,국제금융로2길,일반상업,제2종근린생활,25m미만,596.81, ,"795,839",,법인,법인,202512,23,,1993.0,-,직거래,-,,,매칭실패
